"MUNICIPIO","estrato","NOMBRE","n"
17,1,"CINTALAPA",7
46,1,"JIQUIPILAS",1
102,1,"TUXTLA GUTIERREZ",14
109,1,"VILLAFLORES",7
32,2,"ESCUINTLA",1
57,2,"MOTOZINTLA",1
90,2,"TAPACHULA",10
19,3,"COMITAN DE DOMINGUEZ",6
34,3,"FRONTERA COMALAPA",5
52,3,"LAS MARGARITAS",6
84,3,"SOCOLTENANGO",1
59,4,"OCOSINGO",5
113,4,"BENEMERITO DE LAS AMERICAS",3
65,4,"PALENQUE",5
76,4,"SALTO DE AGUA",1
26,5,"CHENALHO",1
38,5,"HUITIUPAN",1
77,5,"SAN CRISTOBAL DE LAS CASAS",4
82,5,"SIMOJOVEL",1
27,6,"CHIAPA DE CORZO",7
91,6,"TAPALAPA",1
123,6,"MEZCALAPA",4
102,6,"TUXTLA GUTIERREZ",14
