"SbjNum","Correcto"
157612931,766
157613082,766
157613083,766
157613084,766
157613085,766
157613217,766
157613218,766
157613219,766
157613225,766
157613226,766
157613227,766
157613228,766
157613305,766
157613306,766
157613307,766
157613308,766
157613448,766
157613449,766
157613450,766
157613761,766
157613762,766
157613763,766
157613764,766
157613787,766
157613788,766
157613789,766
157613790,766
157614374,766
157614721,766
157614777,766
157614866,766
157614867,766
157615854,766
157616029,766
157616030,766
157616031,766
157616032,766
157616033,766
157616034,766
157616035,766
157616421,766
157616423,766
157617417,766
157619061,766
157621067,766
157621068,766
157621069,766
157621070,766
157621071,766
157621072,766
157621073,766
157621074,766
157621075,766
157621076,766
157622461,766
157622462,766
157622463,766
157622464,766
157622465,766
157622466,766
157622467,766
157622468,766
157622493,766
157622494,766
157622495,766
157622496,766
157622498,766
157622499,766
157622552,766
157622553,766
157622554,766
157622555,766
157622556,766
157622557,766
157622558,766
157624833,766
157624834,766
157624835,766
157624836,766
157624837,766
157624838,766
157624839,766
157624840,766
157624841,766
157625705,766
157626984,766
157626985,766
157627110,766
157627111,766
157627112,766
157627113,766
157627114,766
157627115,766
157627184,766
157627185,766
157627186,766
157627189,766
157627190,766
157627191,766
157627192,766
157627193,766
157627194,766
157627195,766
157627196,766
157627221,766
157627299,766
157627300,766
157627301,766
157627302,766
157627303,766
157627304,766
157627305,766
157627306,766
157627307,766
157627308,766
157627309,766
157627312,766
157627313,766
157627314,766
157627320,766
157627321,766
157627322,766
157627323,766
157627459,766
157627460,766
157627477,766
157640078,766
157640079,766
157640080,766
157640808,766
157675240,766
157675241,766
157675242,766
157675243,766
157675244,766
157675245,766
